a52dec 0.8.0-2
mkinitcpio 36-1
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20230416-1
modemmanager 1.20.6-2
modemmanager-qt5 5.110.0-1
mono 6.12.0.205-1
mpfr 4.2.1-1
mpg123 1.32.2-1
msgpack-c 5.0.0-1
mtdev 1.1.6-2
mypaint-brushes1 1.3.1-1
nano 7.2-1
ncmpcpp 0.9.2-12
ncurses 6.4_20230520-1
neofetch 7.1.0-2
neovim 0.9.4-1
neovim-remote 2.5.1-1
netstandard-targeting-pack 7.0.11.sdk111-1
nettle 3.9.1-1
networkmanager 1.44.2-1
networkmanager-qt5 5.110.0-1
nftables 1:1.0.8-2
nitrogen 1.6.1-4
node-gyp 9.4.0-1
nodejs 20.8.0-1
nodejs-nopt 7.2.0-1
noto-fonts 1:23.10.1-1
noto-fonts-emoji 20220920-1
npm 10.2.0-1
npth 1.6-4
nspr 4.35-1
nss 3.94-1
nushell 0.85.0-1
obs-studio 29.1.3-1
ocl-icd 2.3.2-1
onetbb 2021.10.0-1
onevpl 2023.3.1-1
oniguruma 6.9.8-1
openal 1.23.1-1
opencollada 1:1.6.68-3
opencolorio 2.2.1-13
opencore-amr 0.1.6-1
openexr 3.2.1-1
openimagedenoise 1.4.3-1
openimageio 2.4.15.0-1
openjpeg2 2.5.0-3
openmpi 4.1.5-5
openpgl 0.5.0-5
openpmix 4.2.6-1
openssh 9.5p1-1
openssl 3.1.3-1
opensubdiv 3.5.0-2
openvdb 10.0.1-5
openxr 1.0.29-1
opus 1.4-1
orc 0.4.34-1
os-prober 1.81-1
ostree 2023.6-3
oxygen 5.27.8-2
oxygen-sounds 5.27.8-1
p11-kit 0.25.0-2
p7zip 1:17.05-1
pacman 6.0.2-8
pacman-mirrorlist 20231001-1
pam 1.5.3-3
pambase 20230918-1
pango 1:1.51.1-1
pangomm 2.46.3-1
papirus-icon-theme 20230901-1
parted 3.6-1
passim 0.1.3-1
patch 2.7.6-10
pavucontrol 1:5.0+r64+geba9ca6-1
pciutils 3.10.0-1
pcre 8.45-4
pcre2 10.42-2
pcsclite 2.0.0-1
peazip-gtk2-bin 9.1.0-1
perl 5.38.0-1
perl-error 0.17029-5
perl-mailtools 2.21-7
perl-timedate 2.33-5
phonon-qt5 4.11.1-3
phonon-qt5-gstreamer 4.10.0-4
picom 10.2-1
pinentry 1.2.1-3
pipewire 1:0.3.81-1
pipewire-media-session 1:0.4.2-2
pixman 0.42.2-1
pkgconf 1.8.1-1
plasma-browser-integration 5.27.8-2
plasma-desktop 5.27.8-2
plasma-disks 5.27.8-1
plasma-firewall 5.27.8-1
plasma-framework5 5.110.0-1
plasma-integration 5.27.8-2
plasma-nm 5.27.8-2
plasma-pa 5.27.8-2
plasma-sdk 5.27.8-3
plasma-systemmonitor 5.27.8-2
plasma-thunderbolt 5.27.8-1
plasma-vault 5.27.8-2
plasma-wayland-session 5.27.8-2
plasma-welcome 5.27.8-3
plasma-workspace 5.27.8-2
plasma-workspace-wallpapers 5.27.8-1
playerctl 2.4.1-3
plymouth 22.02.122-7
plymouth-kcm 5.27.8-1
polkit 123-1
polkit-kde-agent 5.27.8-2
polkit-qt5 0.114.0-2
polybar 3.6.3-3
polybar-spotify-git r45.5edc2e5-1
poppler 23.10.0-1
poppler-data 0.4.12-1
poppler-glib 23.10.0-1
poppler-qt5 23.10.0-1
popt 1.19-1
portaudio 1:19.7.0-2
potrace 1.16-2
powerdevil 5.27.8-2
ppp 2.5.0-1
prison5 5.110.0-1
procps-ng 4.0.4-2
protobuf 24.3-1
protobuf-c 1.4.1-4
psmisc 23.6-1
ptex 2.4.2-2
pugixml 1.14-1
pulseaudio 16.1-6
purpose5 5.110.0-1
pybind11 2.11.1-1
pystring 1.1.4-1
python 3.11.5-2
python-appdirs 1.4.4-9
python-beautifulsoup4 4.12.2-1
python-cachecontrol 1:0.13.1-1
python-cairo 1.24.0-1
python-certifi 2023.07.22-1
python-chardet 5.2.0-1
python-coverage 6.5.0-5
python-cssselect 1.2.0-3
python-distro 1.8.0-3
python-docutils 1:0.20.1-1
python-evdev 1.6.1-2
python-filelock 3.12.4-1
python-gobject 3.46.0-1
python-greenlet 2.0.2-4
python-idna 3.4-3
python-lockfile 0.12.2-12
python-lxml 4.9.2-3
python-moddb 0.9.0-1
python-msgpack 1.0.5-1
python-numpy 1.26.0-3
python-packaging 23.1-1
python-pillow 10.0.1-1
python-psutil 5.9.5-1
python-pynvim 0.4.3-3
python-pyrate-limiter 3.1.0-1
python-pyserial 3.5-5
python-requests 2.28.2-4
python-six 1.16.0-8
python-soupsieve 2.5-1
python-toolz 0.12.0-3
python-urllib3 1.26.15-1
python-yaml 6.0.1-2
python-zstandard 0.21.0-2
qbittorrent 4.5.5-1
qca-qt5 2.3.7-2
qqc2-desktop-style5 5.110.0-1
qrencode 4.1.1-2
qt5-base 5.15.11+kde+r134-1
qt5-declarative 5.15.11+kde+r30-1
qt5-doc 5.15.11-2
qt5-graphicaleffects 5.15.11-1
qt5-location 5.15.11+kde+r4-1
qt5-multimedia 5.15.11+kde+r2-1
qt5-quickcontrols 5.15.11-1
qt5-quickcontrols2 5.15.11+kde+r5-1
qt5-sensors 5.15.11-1
qt5-speech 5.15.11+kde+r1-1
qt5-svg 5.15.11+kde+r6-1
qt5-tools 5.15.11+kde+r3-1
qt5-translations 5.15.11-1
qt5-wayland 5.15.11+kde+r59-1
qt5-webchannel 5.15.11+kde+r3-1
qt5-webengine 5.15.15-2
qt5-webview 5.15.11-1
qt5-x11extras 5.15.11-1
qt6-base 6.5.3-1
qt6-svg 6.5.3-1
qt6-translations 6.5.3-1
ragel 6.10-3
rav1e 0.6.6-1
re2 1:20230901-2
readline 8.2.001-2
rhash 1.4.3-1
rnnoise 0.4.1-1
rofi 1.7.5-2
rofi-power-menu-git 3.1.0.r0.g395c1e0-1
rtkit 0.13-2
ruby 3.0.6-1
ruby-abbrev 0.1.0-4
ruby-base64 0.1.1-4
ruby-benchmark 0.2.0-4
ruby-bigdecimal 3.1.2-4
ruby-bundledgems 3.0.6-1
ruby-bundler 2.4.20-1
ruby-cgi 0.3.6-1
ruby-csv 3.2.5-4
ruby-date 3.2.2-4
ruby-delegate 0.2.0-4
ruby-did_you_mean 1.6.1-4
ruby-digest 3.1.1-1
ruby-drb 2.1.0-5
ruby-english 0.7.1-5
ruby-erb 4.0.2-2
ruby-etc 1.3.0-6
ruby-fcntl 1.0.1-4
ruby-fiddle 1.1.0-4
ruby-fileutils 1.6.0-4
ruby-find 0.1.1-4
ruby-forwardable 1.3.2-6
ruby-getoptlong 0.1.1-3
ruby-io-console 0.5.11-3
ruby-io-nonblock 0.1.0-3
ruby-io-wait 0.2.3-4
ruby-ipaddr 1.2.4-3
ruby-irb 1.4.2-1
ruby-json 2.6.3-1
ruby-logger 1.5.1-3
ruby-minitest 5.16.3-1
ruby-mutex_m 0.1.1-3
ruby-net-http 0.2.2-2
ruby-open-uri 0.2.0-3
ruby-power_assert 2.0.3-1
ruby-psych 4.0.6-1
ruby-racc 1.6.0-3
ruby-rake 13.0.6-1
ruby-rdoc 6.4.0-4
ruby-reline 0.3.1-2
ruby-rexml 3.2.6-1
ruby-ruby2_keywords 0.0.5-1
ruby-stdlib 3.0.6-1
ruby-stringio 3.0.2-4
ruby-test-unit 3.6.1-1
ruby-time 0.2.0-4
ruby-tmpdir 0.1.2-3
ruby-uri 0.12.1-1
rubygems 3.3.25-1
rustup 1.26.0-3
